Itemno,Itembrand,Itemname,Itemprice,Itemscore,Itemshop
C872520961,LG전자 통돌이 공식 셀러,LG 통돌이 T17DX3 인공지능 세탁기 17kg DD모터,"526,000원",후기평점 4.8점,thebestjisung
C550281501,LG전자 공식 셀러,LG전자 34WP65C 86cm 21:9 울트라와이드모니터 게이밍모니터/사무용모니터 연관상품,"499,000원",후기평점 5점,notefarm
C276347477,LG전자 울트라기어 공식 셀러,LG 게이밍모니터 27GN650 HDR IPS 1ms 144Hz,"369,000원",후기평점 4.8점,LGshop
C366047519,LG전자 오브제 공식 셀러,LG 코드제로 R9 오브제컬렉션 로봇청소기 RO971WA,"889,000원",후기평점 4.8점,lgekn
C545081747,LG전자 공식 셀러,LG전자 울트라기어 게이밍스피커 GP9 에코캔슬링 클리어 보이스채팅 연관상품,"499,000원",후기평점 5점,notefarm
C281981286,LG전자 오브제 공식 셀러,LG 오브제컬렉션 올인원타워 무선청소기 AO9571WKT,"939,000원",후기평점 4.9점,lgekn
C404207348,LG전자 트롬 공식 셀러,LG 스타일러 S5WB 5벌+1벌 린넨 화이트 /JS 연관상품,"1,447,000원",후기평점 4.8점,thebestjisung
C514668602,LG전자 싸이킹 공식 셀러,LG 비즈니스 대용량 진공청소기 VP8000S,"189,000원",후기평점 3.5점,lgekn
C618322537,LG전자 공식 셀러,듀얼업모니터 28MQ780 (28인치/나노IPS/SDQHD/16:18/PBP/USB-PD) 무료 택배배송,"990,000원",,anycam10
C528870817,LG전자 공식 셀러,LG전자 울트라기어 게이밍스피커 GP3 EQ모드 클리어 보이스채팅 연관상품,"299,000원",후기평점 4.7점,notefarm
C392208641,LG전자 공식 셀러,24MP500W LG모니터 60cm IPS패널 PC모니터 연관상품,"167,000원",후기평점 4.8점,lgonlinestore
C562563015,LG전자 코드제로 공식 셀러,LG 코드제로 A9S 무선청소기 AS9270IA 아이언그레이,"599,000원",후기평점 4.5점,lgekn
C620606877,LG전자 울트라와이드모니터 공식 셀러,LG 34WQ650W 컴퓨터모니터 34인치모니터 IPS HDR400 DP포트 USB-C 스피커내장 높이조절 연관상품,"469,000원",후기평점 4.3점,LGshop
C979492583,,LG 디오스 전기레인지 BEY3GSU1 3구 빌트인,"840,690원",,smartgage
C756164014,LG전자 오브제 공식 셀러,LG 디오스 전기레인지 오브제컬렉션 BEI3WBQTO 인덕션 3구 / 설치배송,"1,240,490원",,
C724362240,LG전자 디오스 공식 셀러,LG 디오스 전기레인지 BEI3WWQTO 식기세척기 DUB22WA,"2,019,000원",,smartgage
C846661963,LG전자 트롬 공식 셀러,LG전자 트롬 오브제컬렉션 워시타워 W20KDQ 세탁25kg 건조20kg,"4,004,000원",,smartgage
C909914329,,LG전자 디오스 가스쿡탑 가스레인지 빌트인 HK631ACN,"168,000원",후기평점 5점,smartgage
C687326072,,액정보호필름 갤럭시노트20울트라 10플러스 9 8 7 FE S23 S22 S21 S20 S10 S9 S8 S7 J A LG V50S G8 Q X,"3,900원",후기평점 4.4점,busysale
C979468265,,LG 디오스 전기레인지 BEI3MQ 인덕션3구 프리스탠딩C,"1,682,000원",,smartgage
C979615121,,LG전자 디오스 전기레인지 BEY3GSU1 3구 프리스탠딩C,"940,690원",,smartgage
C529073698,LG전자 디오스 공식 셀러,LG전자 디오스 전기레인지 BEY3MPST 3구 프리스탠딩A 연관상품,"1,225,000원",,smartgage
C324168189,LG전자 공식 셀러,LG모니터 29WP500 울트라와이드 WFHD HDR10 21:9 화면분할 연관상품,"249,000원",후기평점 4.7점,LGshop
B895983128,LG전자 울트라와이드모니터 공식 셀러,LG모니터 34WN780 34인치 WQHD 3세대스탠드 360모니터 스피커내장 높이높이조절 연관상품,"649,000원",후기평점 4.7점,LGshop
