Itemno,Itembrand,Itemname,Itemprice,Itemscore,Itemshop
B708569686,삼성전자 공식 셀러,C27R502 68cm LED 커브드 컴퓨터 베젤리스 모니터 연관상품,"209,000원",후기평점 4.5점,jykk1007204
B787919669,삼성전자 공식 셀러,S27R350 68cm LED FreeSync 75HZ 베젤리스 모니터 연관상품,"219,000원",후기평점 4.7점,jykk1007204
A954348451,삼성전자 공식 셀러,(JU) SL-C1453FW 팩스 레이저복합기 프린터/ 토너포함 연관상품,"489,000원",후기평점 4.8점,samsunghdd
C542831579,삼성전자 공식 셀러,갤럭시버즈2 프로 라이브 노티드 래빗 케이스 연관상품,"25,900원",후기평점 5점,mdti
C263969857,삼성전자 공식 셀러,SPA-NKG1CUR LED 화이트 기계식키보드 적축 게이밍 장패드 증정 연관상품,"59,800원",후기평점 4.7점,monikhan
B771874070,삼성전자,삼성 DB400S3 4세대 i5-4670 8G 신품SSD240+500 윈10 컴퓨터본체 주식용컴퓨터 사무용PC 연관상품,"206,100원",후기평점 4.7점,ecocomputer
C683114724,삼성전자 무풍에어컨,비스포크 무풍클래식 투인원 에어컨 AF17A7974BZER 22년 인버터 3등급 기본설치포함 수도권 ND 연관상품,"1,737,600원",,ndsystem
C877060120,삼성전자,NT371B5L 램8G SSD256G+500GB 윈도우10 듀얼하드 연관상품,"289,000원",후기평점 4.7점,kcom3500
C580838443,삼성전자 공식 셀러,무풍 청정 벽걸이에어컨 AR07A9171HBS 스마트싱스 기본설치포함 연관상품,"1,009,000원",후기평점 4.2점,dgtmart
C714365730,삼성전자 공식 셀러,갤럭시 Z폴드4 256GB 자급제폰 공기계 SM-F936N 삼성 정품 보호필름+충전기+신세계 3만원 연관상품,"1,658,910원",후기평점 5점,shoma01
C828413044,삼성전자 노트북5,중고노트북 삼성 NT451R4J i5 8G 128G 14 윈10 가성비 연관상품,"219,000원",,yellowcom
C473854652,삼성전자 공식 셀러,비즈니스TV LH50BEAHLGFXKR 125cm UHD 4K 1등급 UHD LED TV 연관상품,"599,000원",후기평점 5점,SAMSUNGMONITOR
B880278326,삼성전자 공식 셀러,SL-C483 컬러 레이저 복합기 토너포함 프린터 연관상품,"269,000원",후기평점 4.9점,
C325308463,삼성전자 공식 셀러,비스포크 직수형 냉 정수기 RWP71210AAP (냉수/정수) 연관상품,"869,000원",후기평점 4.9점,dgtmart
B901556307,삼성전자 공식 셀러,SL-M2843DW 레이저프린터 무선/양면출력 (토너포함),"229,000원",후기평점 5점,now7979
B907298871,삼성전자 공식 셀러,F24T350 60cm 베젤리스 IPS LED 컴퓨터 모니터 연관상품,"154,000원",후기평점 4.7점,jykk1007204
B861033181,삼성전자,삼성 190cm UHD 비즈니스 TV 75인치 벽결이형 삼성 무료 설치 연관상품,"1,414,000원",후기평점 4.7점,wsdigital
C518073961,삼성전자 공식 셀러,갤럭시탭 S8 플러스 SM-X800 WiFi 128GB RAM 8G 연관상품,"1,058,990원",후기평점 4.9점,fodi425
B840731644,삼성전자 공식 셀러,SL-M2630 흑백레이저프린터 (토너포함) 정품인증점,"174,500원",후기평점 5점,now7979
A938685617,삼성전자 공식 셀러,(JU) SL-C1454FW 팩스 레이저복합기 프린터/ 토너포함 연관상품,"509,000원",후기평점 4.8점,samsunghdd
B842806199,삼성전자 공식 셀러,SL-M2893FW 흑백 레이저복합기 프린터 복사 스캔 WiFi 무선 지원 자동급지 팩스 자동양면인쇄 토너포함 연관상품,"269,000원",후기평점 4.7점,incomss
B842855777,삼성전자 공식 셀러,UHD TV 138cm LED TV HDR10+ LH55BEAHLGFXKR 벽걸이형 연관상품,"774,000원",후기평점 4.2점,ojplus
C698691904,삼성전자 공식 셀러,갤럭시 버즈2 프로 라이브 대한항공 케이스 연관상품,"25,900원",후기평점 4.8점,mdti
C317661624,삼성전자,MLT-K250L 토너반납조건 SL-M2893FW SL-M2843DW 재생 연관상품,"22,500원",후기평점 4.8점,diotoner
